index,target
0,yes
1,no
2,no
3,no
4,no
5,yes
6,no
7,no
8,yes
9,no
10,yes
11,yes
12,no
13,no
14,yes
15,no
16,yes
17,yes
18,yes
19,yes
20,no
21,no
22,no
23,no
24,yes
25,no
26,no
27,yes
28,no
29,no
30,no
31,yes
32,yes
33,no
34,no
35,no
36,no
37,yes
38,yes
39,yes
40,yes
41,no
42,no
43,yes
44,no
45,no
46,yes
47,yes
48,yes
49,no
50,yes
51,no
52,no
53,yes
54,no
55,no
56,yes
57,yes
58,yes
59,no
60,no
61,no
62,yes
63,no
64,yes
65,yes
66,no
67,yes
68,yes
69,no
70,no
71,yes
72,no
73,yes
74,no
75,yes
76,no
77,yes
78,yes
79,no
80,no
81,no
82,no
83,no
84,no
85,no
86,no
87,no
88,no
89,no
90,no
91,no
92,no
93,no
94,yes
95,no
96,no
97,no
98,yes
99,yes
100,no
101,no
102,no
103,yes
104,no
105,yes
106,no
107,no
108,no
109,no
110,no
111,no
112,no
113,no
114,yes
115,no
116,no
117,yes
118,yes
119,no
120,no
121,yes
122,yes
123,no
124,yes
125,no
126,no
127,no
128,no
129,no
130,no
131,no
132,no
133,yes
134,no
135,no
136,no
137,no
138,no
139,no
140,no
141,yes
142,no
143,no
144,no
145,yes
146,no
147,no
148,no
149,no
150,no
151,no
152,no
153,no
154,no
155,no
156,no
157,yes
158,no
159,no
160,no
161,yes
162,yes
163,no
164,no
165,no
166,yes
167,no
168,no
169,no
170,no
171,yes
172,yes
173,yes
174,no
175,no
176,yes
177,yes
178,no
179,no
180,no
181,no
182,no
183,no
184,yes
185,no
186,yes
187,no
188,yes
189,no
190,no
191,no
192,no
193,no
194,no
195,no
196,no
197,no
198,no
199,no
200,no
201,no
202,no
203,no
204,no
205,yes
206,no
207,no
208,no
209,no
210,yes
211,no
212,yes
213,yes
214,no
215,no
216,no
217,no
218,no
219,no
220,no
221,no
222,no
223,no
224,yes
225,no
226,no
227,no
228,no
229,no
230,no
231,no
232,no
233,yes
234,no
235,yes
236,no
237,yes
238,no
239,yes
240,no
241,yes
242,no
243,no
244,yes
245,no
246,no
247,no
248,no
249,no
250,yes
251,no
252,no
253,yes
254,no
255,no
256,no
257,no
258,yes
259,yes
260,no
261,yes
262,yes
263,yes
264,no
265,no
266,no
267,no
268,no
269,no
270,no
271,no
272,no
273,no
274,no
275,yes
276,no
277,no
278,no
279,no
280,no
281,no
282,yes
283,no
284,no
285,no
286,yes
287,no
288,no
289,no
290,no
291,no
292,no
293,yes
294,no
295,no
296,no
297,no
298,no
299,no
300,no
301,no
302,yes
303,no
304,yes
305,yes
306,no
307,yes
308,no
309,yes
310,no
311,yes
312,no
313,no
314,no
315,no
316,yes
317,no
318,no
319,no
320,no
321,no
322,no
323,no
324,no
325,no
326,no
327,yes
328,no
329,no
330,no
331,yes
332,no
333,no
334,no
335,no
336,no
337,no
338,yes
339,no
340,no
341,no
342,no
343,yes
344,no
345,yes
346,no
347,no
348,no
349,yes
350,no
351,yes
352,no
353,no
354,no
355,no
356,no
357,no
358,no
359,no
360,yes
361,no
362,no
363,no
364,yes
365,no
366,no
367,no
368,no
369,no
370,no
371,no
